time,pm25,pm10,no2,so2,co,o3,us_aqi,temperature,humidity,wind_speed,calculated_aqi,calculated_category,primary_pollutant,city_name,city_id
2026-06-20 00:00:00,152.3,583.0,21.1,15.3,499.0,71.0,609,27.1,87.0,17.1,500,Hazardous,PM10,Delhi,1
2026-06-20 01:00:00,149.5,536.4,20.3,16.8,513.0,85.0,605,27.1,87.0,17.1,500,Hazardous,PM10,Delhi,1
2026-06-20 02:00:00,144.8,527.1,19.1,18.8,518.0,104.0,597,27.1,87.0,17.1,500,Hazardous,PM10,Delhi,1
2026-06-20 03:00:00,122.9,457.3,16.9,19.6,497.0,123.0,590,27.1,87.0,17.1,500,Hazardous,PM10,Delhi,1
2026-06-20 04:00:00,98.0,387.4,12.7,18.2,425.0,141.0,580,27.1,87.0,17.1,500,Hazardous,PM10,Delhi,1
2026-06-20 05:00:00,93.6,461.0,7.6,15.6,325.0,159.0,571,27.1,87.0,17.1,500,Hazardous,PM10,Delhi,1
2026-06-20 06:00:00,76.1,337.1,3.9,13.5,254.0,170.0,567,27.1,87.0,17.1,500,Hazardous,PM10,Delhi,1
2026-06-20 07:00:00,89.9,501.1,2.6,12.4,237.0,170.0,560,27.1,87.0,17.1,500,Hazardous,PM10,Delhi,1
2026-06-20 08:00:00,77.3,383.7,2.7,11.6,248.0,163.0,555,27.1,87.0,17.1,500,Hazardous,PM10,Delhi,1
2026-06-20 09:00:00,84.5,465.7,3.6,11.1,262.0,154.0,546,27.1,87.0,17.1,500,Hazardous,PM10,Delhi,1
2026-06-20 10:00:00,83.6,467.5,4.8,10.6,272.0,146.0,544,27.1,87.0,17.1,500,Hazardous,PM10,Delhi,1
2026-06-20 11:00:00,87.8,491.7,6.7,10.2,285.0,137.0,545,27.1,87.0,17.1,500,Hazardous,PM10,Delhi,1
2026-06-20 12:00:00,83.4,461.9,10.7,10.7,298.0,125.0,549,27.1,87.0,17.1,500,Hazardous,PM10,Delhi,1
2026-06-20 13:00:00,85.4,444.2,15.9,11.9,307.0,111.0,540,27.1,87.0,17.1,500,Hazardous,PM10,Delhi,1
2026-06-20 14:00:00,93.1,458.2,23.3,13.5,316.0,90.0,526,27.1,87.0,17.1,500,Hazardous,PM10,Delhi,1
2026-06-20 15:00:00,107.8,508.5,30.1,15.0,333.0,72.0,507,27.1,87.0,17.1,500,Hazardous,PM10,Delhi,1
2026-06-20 16:00:00,122.0,549.5,35.7,16.3,374.0,59.0,486,27.1,87.0,17.1,486,Hazardous,PM10,Delhi,1
2026-06-20 17:00:00,134.1,573.7,40.7,17.4,423.0,48.0,466,27.1,87.0,17.1,466,Hazardous,PM10,Delhi,1
2026-06-20 18:00:00,142.5,575.6,43.8,17.8,447.0,39.0,447,27.1,87.0,17.1,468,Hazardous,PM10,Delhi,1
2026-06-20 19:00:00,146.7,568.1,44.0,16.8,423.0,34.0,431,27.1,87.0,17.1,460,Hazardous,PM10,Delhi,1
2026-06-20 20:00:00,150.4,571.8,42.4,15.1,373.0,31.0,418,27.1,87.0,17.1,464,Hazardous,PM10,Delhi,1
2026-06-20 21:00:00,152.3,577.4,40.2,13.8,330.0,29.0,407,27.1,87.0,17.1,470,Hazardous,PM10,Delhi,1
2026-06-20 22:00:00,152.3,577.4,38.2,13.3,304.0,27.0,400,27.1,87.0,17.1,470,Hazardous,PM10,Delhi,1
2026-06-20 23:00:00,149.9,556.9,35.6,13.3,285.0,26.0,396,27.1,87.0,17.1,448,Hazardous,PM10,Delhi,1
2026-06-21 00:00:00,130.4,584.9,15.6,9.1,275.0,53.0,395,27.1,87.0,17.1,479,Hazardous,PM10,Delhi,1
2026-06-21 01:00:00,130.4,575.6,15.2,9.9,282.0,53.0,395,27.1,87.0,17.1,468,Hazardous,PM10,Delhi,1
2026-06-21 02:00:00,129.9,597.9,14.4,11.0,298.0,54.0,397,27.1,87.0,17.1,493,Hazardous,PM10,Delhi,1
2026-06-21 03:00:00,132.7,685.5,13.0,12.0,301.0,63.0,401,27.1,87.0,17.1,500,Hazardous,PM10,Delhi,1
2026-06-21 04:00:00,130.4,720.8,10.2,12.9,275.0,86.0,410,27.1,87.0,17.1,500,Hazardous,PM10,Delhi,1
